Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,0805,23.876mm,19.558mm,23.876mm,18.161mm,23.876mm,18.161mm,T,90,2pf
C2,0805,27.559mm,19.558mm,27.559mm,18.161mm,27.559mm,18.161mm,T,90,2pf
C3,0805,22.733mm,53.213mm,22.733mm,51.816mm,22.733mm,51.816mm,T,90,2pf
C4,0805,27.051mm,53.213mm,27.051mm,51.816mm,27.051mm,51.816mm,T,90,2pf
C5,0805,52.07mm,52.197mm,53.467mm,52.197mm,53.467mm,52.197mm,T,180,2pf
C6,0805,52.07mm,55.499mm,53.467mm,55.499mm,53.467mm,55.499mm,T,180,2pf
C7,0805,43.561mm,65.786mm,43.561mm,64.389mm,43.561mm,64.389mm,T,90,2pf
C8,0805,47.117mm,65.786mm,47.117mm,64.389mm,47.117mm,64.389mm,T,90,2pf
C9,0805,50.673mm,65.913mm,50.673mm,64.516mm,50.673mm,64.516mm,T,90,2pf
C10,0805,27.178mm,42.672mm,27.178mm,41.275mm,27.178mm,41.275mm,T,90,2pf
C11,0805,61.595mm,16.891mm,61.595mm,15.494mm,61.595mm,15.494mm,B,90,0.1uf
C12,0805,64.719mm,16.764mm,64.722mm,15.367mm,64.722mm,15.367mm,B,90,0.1uf
C13,0805,67.843mm,16.764mm,67.85mm,15.367mm,67.85mm,15.367mm,B,90,0.1uf
C14,0805,70.968mm,16.764mm,70.977mm,15.367mm,70.977mm,15.367mm,B,90,0.1uf
C15,0805,74.117mm,16.764mm,74.104mm,15.367mm,74.104mm,15.367mm,B,90,0.1uf
C16,0805,77.241mm,16.764mm,77.232mm,15.367mm,77.232mm,15.367mm,B,90,0.1uf
C17,0805,80.366mm,16.637mm,80.359mm,15.24mm,80.359mm,15.24mm,B,90,0.1uf
C18,0805,83.49mm,16.637mm,83.487mm,15.24mm,83.487mm,15.24mm,B,90,0.1uf
C19,0805,86.614mm,16.51mm,86.614mm,15.113mm,86.614mm,15.113mm,B,90,0.1uf
D1,SMC,50.673mm,74.676mm,50.673mm,74.676mm,54.148mm,74.676mm,T,180,1N4007
D2,0805,19.05mm,42.697mm,19.05mm,42.696mm,19.05mm,41.196mm,T,90,LED3
D3,0805,14.478mm,42.697mm,14.478mm,42.696mm,14.478mm,41.196mm,T,90,LED3
D4,0805,9.525mm,42.697mm,9.525mm,42.696mm,9.525mm,41.196mm,T,90,LED3
D5,0805,4.826mm,42.697mm,4.826mm,42.696mm,4.826mm,41.196mm,T,90,LED3
D6,0805,35.941mm,53.365mm,35.941mm,53.364mm,35.941mm,54.864mm,T,270,LED3
HC05,HDR1X6,81.026mm,3.048mm,87.376mm,3.048mm,87.376mm,3.048mm,T,180,Header 6
JTAG?,JTAG_20,47.879mm,4.445mm,47.879mm,4.445mm,59.309mm,5.715mm,T,180,JTAG
KCD1,KCD1,23.8mm,71.374mm,27.305mm,71.374mm,27.305mm,71.374mm,B,180,KCD1
LM2596_VCC,LM2596HV,42.113mm,37.592mm,52.623mm,14.579mm,52.623mm,14.579mm,B,90,LM2596HV
LM2596_VM,LM2596HV,14.122mm,37.338mm,24.638mm,14.351mm,24.638mm,14.351mm,B,90,LM2596HV
MOTORL,HDR1X6,91.059mm,41.402mm,91.059mm,35.052mm,91.059mm,35.052mm,T,90,Header 6
MOTORR,HDR1X6,96.266mm,41.402mm,96.266mm,35.052mm,96.266mm,35.052mm,T,90,Header 6
MPU6050,HDR1X6,96.901mm,16.51mm,96.901mm,10.16mm,96.901mm,10.16mm,T,90,Header 6
